id,mood,arousal,valence,activity,night_physical_activity,SUM_inactivity_timediff,screen,call,sms,appCat_total,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,night_screen,night_appcat_combined,mood_of_next_day
1,6.3999999999999995,0.5333333333333333,0.5,0.18704966466017534,0.005343441724515867,6.655666666666666,22373.81600022318,13.0,1.0,23653.96,2660.4049999999997,14839.081,1164.641,55.182,0.0,3.01,182.212,3965.58,457.11,0.0,296.353,30.386,3177.074001073838,3185.304,7.0
1,6.6000000000000005,0.26666666666666666,0.39999999999999997,0.14818349957270768,0.006309625299395067,5.989,28622.266999959942,10.0,1.0,25290.042,2621.53,15346.563000000002,1089.383,77.16,0.0,3.01,225.73999999999998,4988.079,419.805,235.223,253.163,30.386,5608.306001424795,5602.079,6.6
1,6.533333333333332,0.13333333333333333,0.3666666666666667,0.14254301480819334,0.009403825942615301,4.666666666666667,34367.53699994086,10.0,1.0,29175.284,2183.502,16559.752,1597.2900000000002,97.33500000000001,0.0,3.01,269.585,7556.619000000001,419.805,235.223,253.163,0.0,14841.371001005171,13670.931,7.0
1,6.866666666666666,-0.13333333333333333,0.6333333333333333,0.201462650061448,0.010425284227067233,4.333333333333333,39328.48599886896,2.0,2.0,26072.591,2529.2239999999997,15875.673999999999,1259.6580000000004,105.44800000000001,0.0,182.451,265.579,5333.648,47.314,235.223,238.37199999999996,0.0,18582.81299996376,15697.365999999998,6.7
1,6.766666666666666,-0.26666666666666666,0.7333333333333334,0.20108718196547168,0.009459100652188033,3.6666666666666665,31399.2939999104,7.0,1.0,22602.286,2510.9529999999995,11194.317,1983.6830000000002,115.738,233.036,182.451,351.869,4384.258000000001,1180.323,0.0,465.65799999999996,0.0,16430.685999870297,23557.885,7.5
1,7.066666666666667,-0.26666666666666666,0.8666666666666667,0.18291147773395733,0.0067802075498792,4.333333333333333,27082.66799926763,11.0,2.0,18700.16,2191.8769999999995,8942.474,2541.3360000000002,95.563,233.036,182.451,423.98,1921.01,1232.758,0.0,935.675,0.0,7242.199999570849,15691.441999999997,7.3
1,7.166666666666667,-0.5333333333333333,0.9,0.09157274597773463,0.04925196471090184,4.468,11717.94600081444,9.0,1.0,11414.546,1366.7229999999995,3564.594,2619.013,53.343999999999994,233.036,0.0,439.26800000000003,1143.094,1185.444,0.0,810.03,0.0,5192.483999490739,14212.137999999997,7.4
1,7.3999999999999995,-0.3333333333333333,0.8333333333333334,0.0778845537534083,0.05357295236522284,5.134666666666667,12929.76900076866,10.0,1.0,14279.922,3302.5969999999998,5257.468,2772.6240000000003,41.254999999999995,51.176,0.0,380.947,1675.155,235.816,29.29,533.5939999999999,0.0,5634.3219993114435,4646.802999999998,6.0
1,6.8999999999999995,-0.20000000000000004,0.5,0.10333157532199728,0.053993236513561665,4.801333333333333,21120.485002756068,7.0,0.0,21920.721,4074.7799999999993,6383.941,2430.1620000000003,560.885,285.91700000000003,92.388,336.535,5371.745,1798.0020000000002,29.29,557.076,0.0,11752.96200037002,9701.217999999997,6.0
1,6.466666666666666,0.0,0.3333333333333333,0.14125150039012566,0.015559583976816166,4.0,31165.23700141906,11.0,0.0,33041.167,7061.5689999999995,10127.312,2791.755,808.662,285.91700000000003,182.869,778.0260000000001,8387.056,1798.0020000000002,29.29,790.7089999999998,0.0,10832.59000062942,9903.337999999998,6.4
