id,datetime,day_of_week,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat_total
1,2014-02-26,Wednesday,6.25,-0.25,0.75,0.1025688135513025,0.0,1.0,2.0,0.0
1,2014-02-27,Thursday,6.333333333333333,0.0,0.3333333333333333,0.1021436479325531,0.0,0.0,0.0,0.0
1,2014-03-21,Friday,6.2,0.2,0.2,0.1340501039893886,17978.907000064843,6.0,0.0,16911.764
1,2014-03-22,Saturday,6.4,0.6,0.5,0.2368802192399581,6142.160999536513,3.0,1.0,6501.447999999999
1,2014-03-23,Sunday,6.8,0.2,0.8,0.1427411158050636,6773.832001447675,0.0,0.0,7695.448000000001
1,2014-03-24,Monday,6.0,0.8,0.0,0.0789610561155979,15047.351000547404,10.0,0.0,15040.393000000002
1,2014-03-25,Tuesday,6.75,0.5,0.5,0.0983741123905067,21475.35499906539,0.0,1.0,13977.185
1,2014-03-26,Wednesday,6.6,-0.2,0.6,0.1013083216700759,16423.80100035667,0.0,0.0,15841.981999999998
1,2014-03-27,Thursday,7.0,0.2,0.8,0.1595106409690974,17442.14999938011,2.0,1.0,10250.103999999998
1,2014-03-28,Friday,6.4,-0.6,0.6,0.0956980216371201,4923.48899960518,5.0,0.0,14430.451
1,2014-03-29,Saturday,8.0,0.2,1.0,0.0682028101018696,8322.6219997406,4.0,1.0,7596.305
1,2014-03-30,Sunday,7.5,-0.5,0.75,0.049092970521542,4523.2140009403265,0.0,0.0,3595.008
1,2014-03-31,Monday,7.4,0.0,0.6,0.0705054808833895,11836.83400034904,6.0,0.0,12187.578
1,2014-04-01,Tuesday,6.0,0.2,0.0,0.118443242712736,17173.906002044678,1.0,0.0,16680.149
1,2014-04-02,Wednesday,6.5,0.3333333333333333,0.6666666666666666,0.1019166106382234,21358.510999917988,4.0,0.0,16527.843
1,2014-04-03,Thursday,6.4,-1.2,0.0,0.049238472708441,21401.835000753403,4.0,0.0,21699.408000000003
1,2014-04-04,Friday,6.2,0.2,0.4,0.1266893112073258,12379.411000013357,2.0,1.0,11534.614999999998
1,2014-04-05,Saturday,6.8,-0.4,0.6,0.1190023022034455,3340.4309999942784,0.0,0.0,17872.21
1,2014-04-06,Sunday,6.5,-0.75,0.5,0.0644077994424681,7467.321999788283,4.0,0.0,8692.854000000003
1,2014-04-07,Monday,6.5,-0.6666666666666666,0.25,0.0506706211743178,9846.38099980354,1.0,0.0,10704.571999999998
1,2014-04-08,Tuesday,6.6,-0.4,0.3333333333333333,0.0753270582613484,15101.132001876833,1.0,0.0,16756.63
1,2014-04-09,Wednesday,7.4,-0.8,1.0,0.1203841145323287,13558.28900098801,4.0,0.0,12506.826
1,2014-04-10,Thursday,7.4,-0.4,0.8,0.078963105194891,9296.09899926186,7.0,0.0,9140.236
1,2014-04-11,Friday,7.0,-1.2,0.8,0.0799862020730605,10526.846000194551,0.0,0.0,9672.995
1,2014-04-12,Saturday,7.25,-0.75,0.75,0.0722490614703181,11750.809000968928,0.0,0.0,9784.899
1,2014-04-13,Sunday,8.0,-1.25,1.0,0.0140213289543707,2005.7509992122657,0.0,0.0,2004.726
1,2014-04-14,Monday,7.2,-1.2,0.6,0.0838873144698841,17985.44799923897,1.0,1.0,17884.942999999996
1,2014-04-15,Tuesday,6.4,0.0,0.8,0.0901121527807252,13585.222998380666,8.0,1.0,13604.933
1,2014-04-16,Wednesday,7.2,0.75,0.5,0.1161103361271222,12522.47499895096,0.0,1.0,8702.586
1,2014-04-17,Thursday,6.6,-0.4,0.6,0.0569178566720968,15018.48000073434,2.0,0.0,14758.408000000005
1,2014-04-18,Friday,6.8,-0.8,0.8,0.094033006694976,13490.728999614706,1.0,0.0,10290.337
1,2014-04-19,Saturday,7.8,-0.2,1.0,0.0994319117238402,13293.2480006218,1.0,0.0,5131.277000000001
1,2014-04-20,Sunday,7.25,-0.25,0.75,0.0748162430431159,8343.518000364307,2.0,2.0,9012.887
1,2014-04-21,Monday,7.6,-0.25,1.0,0.1020410589682471,3832.9909992218018,2.0,0.0,6320.905999999999
1,2014-04-22,Tuesday,7.4,0.2,1.0,0.091929551822292,15490.269999265667,2.0,0.0,16622.26
1,2014-04-23,Wednesday,7.6,0.2,1.0,0.0459856891337655,14535.339999437334,1.0,0.0,11240.731999999998
1,2014-04-24,Thursday,7.6,-0.4,1.0,0.0509029881940343,22086.478000164043,1.0,0.0,19321.166000000005
1,2014-04-25,Friday,7.2,-0.2,0.8,0.1090610636368274,13973.941999673843,2.0,1.0,11476.491
1,2014-04-26,Saturday,7.6,-0.2,1.0,0.2142487716242349,15482.018999338148,3.0,4.0,6789.465
1,2014-04-27,Sunday,7.5,0.0,1.0,0.0304789237989636,5700.562000036243,0.0,0.0,6377.525
1,2014-04-28,Monday,7.6,-0.8,0.8,0.0196753225383989,10807.829999685284,2.0,0.0,10899.774
1,2014-04-29,Tuesday,7.0,-0.25,1.0,0.1027582485295044,7873.291999101639,0.0,0.0,11924.771
1,2014-04-30,Wednesday,7.8,-0.4,0.75,0.1510514590407472,9175.6049990654,1.0,0.0,5935.5070000000005
1,2014-05-01,Thursday,8.0,-0.4,1.0,0.037065268147657,15516.951998472214,7.0,4.0,17120.532
1,2014-05-02,Friday,7.6,-0.2,1.0,0.0773410192967756,15088.51900076866,0.0,0.0,10958.782
1,2014-05-03,Saturday,8.0,-0.2,1.0,0.071740884895172,8186.036000728605,0.0,1.0,8896.804999999998
1,2014-05-04,Sunday,8.0,-0.5,1.0,0.1361918083770383,5889.194999456405,0.0,0.0,6598.735
2,2014-03-16,Sunday,6.333333333333333,0.0,0.0,0.2728665915055827,4902.626999616626,4.0,1.0,6311.653
2,2014-03-17,Monday,6.75,0.5,0.5,0.1680684149503257,10159.769001245491,4.0,0.0,8465.368
