"","ID","observation_day","beepo","date","mood","arousal","valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","night_mood","night_arousal","night_valence","night_physical_activity","night_screen","night_appcat_combined","total_time_diff","max_time_diff","total_inactivity","max_inactivity","SUM_inactivity_timediff","MAX_inactivity_timediff","lead_night_mood","lead_night_arousal","lead_night_valence","binary_screen","binary_appCat.builtin","binary_appCat.communication","binary_appCat.entertainment","binary_appCat.finance","binary_appCat.game","binary_appCat.office","binary_appCat.other","binary_appCat.social","binary_appCat.travel","binary_appCat.unknown","binary_appCat.utilities","binary_appCat.weather","binary_night_screen","binary_night_appcat_combined","was_na_mood","was_na_arousal","was_na_valence","was_na_activity","was_na_night_activity","daily_average_mood","mood_of_yesterday","roll_mean_15","roll_mean_45"
"1",1,1,1,2014-03-22,7,1,1,0.202995867768595,0,0,0,3.01411232083542,4.255016787611,0,0,0,0,2.22645970260455,2.71084628840421,0,0,0,0,NA,NA,NA,0,5.91723118239539,5.93962110141495,8,8,0,0,8,8,NA,NA,NA,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,6.4,NA,NA,NA
"2",1,1,2,2014-03-22,7,1,1,0.328578154425612,7.16267807832019,0,0,4.8965105586921,6.7883409134304,0,3.09449104557725,0,0,2.19977687301236,5.20067146105904,3.64558043596878,0,3.18187983518147,0,NA,NA,NA,0,5.91723118239539,5.93962110141495,8,8,0,0,8,8,NA,NA,NA,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,6.4,NA,NA,NA
"3",1,1,3,2014-03-22,7,1,1,0.332633053221288,7.33052316005857,0,0,5.61582883569534,7.16015312015929,0,0,0,0,2.40838551188026,5.1659909619195,0,0,3.43707919354992,0,NA,NA,NA,0,5.91723118239539,5.93962110141495,8,8,0,0,8,8,NA,NA,NA,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,6.4,NA,NA,NA
"4",1,1,4,2014-03-22,6,-1,NA,0.357879140356708,6.89530509571279,3,1,5.33690807359683,6.43135523623113,4.54673566415092,0,0,0,3.84228700074325,3.05880096502097,0,0,0,0,NA,NA,NA,0,5.91723118239539,5.93962110141495,8,8,0,0,8,8,NA,NA,NA,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,6.4,NA,NA,NA
"5",1,1,5,2014-03-22,5,1,-1,0.103384687208217,7.69874080448102,0,0,4.57021635672456,7.59120458681868,0,0,0,0,2.71144443417023,3.94512890732514,0,0,4.18102671835782,0,NA,NA,NA,0,5.91723118239539,5.93962110141495,8,8,0,0,8,8,NA,NA,NA,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,6.4,NA,NA,NA
"6",1,2,1,2014-03-23,NA,NA,NA,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.00833333333333335,4.92306376095591,4.92227027407242,6.967,6.967,0,0,6.967,6.967,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,7,6.4,NA,NA
"7",1,2,2,2014-03-23,7,-0.5,1,0.0310580372499877,3.45280895830307,0,0,4.7765319025457,5.61814833066386,0,0,0,0,2.56802155649851,3.74504709952712,0,0,0,0,NA,NA,NA,0.00833333333333335,4.92306376095591,4.92227027407242,6.967,6.967,0,0,6.967,6.967,NA,NA,NA,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,7,6.4,NA,NA
"8",1,2,3,2014-03-23,8,1,1,0.218576618256888,7.7309495389647,0,0,5.57115733792439,7.59630239545197,0,0,0,0,2.65626555795245,2.56710088741399,0,0,0,0,NA,NA,NA,0.00833333333333335,4.92306376095591,4.92227027407242,6.967,6.967,0,0,6.967,6.967,NA,NA,NA,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,7,6.4,NA,NA
"9",1,2,4,2014-03-23,NA,NA,NA,0.0744829693115272,6.6099609171751,0,0,5.20590049708167,5.8741551492675,1.615022290728,0,0,0,2.11480868551713,5.10212606803518,0,0,0,3.44636193361653,NA,NA,NA,0.00833333333333335,4.92306376095591,4.92227027407242,6.967,6.967,0,0,6.967,6.967,NA,NA,NA,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,7,6.4,NA,NA
"10",1,2,5,2014-03-23,6,0.5,0.5,0.283163645352939,6.97974100040866,0,0,6.35487599973506,6.63096830547103,4.51434792041432,0,0,0,2.20088453816771,5.02313023945557,0,0,0,0,NA,NA,NA,0.00833333333333335,4.92306376095591,4.92227027407242,6.967,6.967,0,0,6.967,6.967,NA,NA,NA,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,7,6.4,NA,NA
"11",1,3,1,2014-03-24,6,1,0,0.0642156862745097,7.83351701901121,0,0,5.31161357884038,5.81109009347775,6.87928378540622,0,0,0,0,6.9252906320712,0,0,0,0,NA,NA,NA,0.00769699184021435,7.89030891975998,7.89028271426579,0,0,5,3,5,3,NA,NA,NA,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,6,7,NA,NA
"12",1,3,2,2014-03-24,6,2,0,0.0844202638320287,8.36624331687435,0,0,5.2311567440387,7.95875905505552,0,2.77539727456182,0,1.38879124131848,3.27078492960563,6.94820600459062,0,0,5.1338435863977,0,NA,NA,NA,0.00769699184021435,7.89030891975998,7.89028271426579,0,0,5,3,5,3,NA,NA,NA,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,6,7,NA,NA
"13",1,3,3,2014-03-24,6,2,0,0.258409450736817,6.81222297522976,1,0,4.4155339419788,5.27050928090747,0,0,0,0,2.31045405137274,5.27074573856722,6.04216954348219,0,2.40369659436246,0,NA,NA,NA,0.00769699184021435,7.89030891975998,7.89028271426579,0,0,5,3,5,3,NA,NA,NA,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,6,7,NA,NA
"14",1,3,4,2014-03-24,5,-1,-1,0.151260504201681,7.46346803104297,7,0,5.5504564547035,7.18630401924643,1.951750205537,2.99877763173995,0,0,2.30478267653753,4.88472431602771,0,0,0,0,NA,NA,NA,0.00769699184021435,7.89030891975998,7.89028271426579,0,0,5,3,5,3,NA,NA,NA,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,6,7,NA,NA
"15",1,3,5,2014-03-24,7,0,1,0.064686891705835,7.92851953327249,2,0,4.27949544602621,7.55799078315674,0,0,0,0,2.57154295644755,6.6561698139741,0,0,0,0,NA,NA,NA,0.00769699184021435,7.89030891975998,7.89028271426579,0,0,5,3,5,3,NA,NA,NA,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,6,7,NA,NA
"16",1,4,1,2014-03-25,6,1,0,0.0677381073475061,8.04643663871908,0,0,4.99772565547468,5.53661747475126,0,0,0,0,0,6.74540574690052,0,0,0,0,NA,NA,NA,0.00289855072463768,7.93830783219942,7.93614751491288,0,0,6,4,6,4,NA,NA,NA,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,6.66666666666667,6,NA,NA
"17",1,4,2,2014-03-25,NA,NA,NA,0.245754853665604,7.83122617154766,0,1,4.29747586427098,7.86920291605996,0,0,0,0,2.65401631260972,4.69139375273671,0,0,0,0,NA,NA,NA,0.00289855072463768,7.93830783219942,7.93614751491288,0,0,6,4,6,4,NA,NA,NA,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,6.66666666666667,6,NA,NA
