id,datetime,day_of_week,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat_total,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_of_next_day
1,2014-02-26,3.0,6.25,-0.25,0.75,0.1038419573615099,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333
1,2014-02-27,4.0,6.333333333333333,0.0,0.3333333333333333,0.1037919285350087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
1,2014-03-21,5.0,6.2,0.2,0.2,0.1340501039893886,17978.907000064843,6.0,0.0,16911.764,3139.218,6280.89,1007.456,49.544,0.0,172.20600000000002,239.751,4508.5,915.445,0.0,598.754,0.0,6.4
1,2014-03-22,6.0,6.4,0.6,0.5,0.2368802192399581,6142.160999536513,3.0,1.0,6501.447999999999,731.429,4962.918,93.324,21.076,0.0,0.0,98.143,439.632,37.305,0.0,117.621,0.0,6.8
1,2014-03-23,7.0,6.8,0.2,0.8,0.1427411158050636,6773.832001447675,0.0,0.0,7695.448000000001,1286.246,5237.319,94.346,43.403,0.0,0.0,72.82300000000001,900.839,0.0,0.0,30.086,30.386,6.0
1,2014-03-24,1.0,6.0,0.8,0.0,0.0789610561155979,15047.351000547404,10.0,0.0,15040.393000000002,866.956,9270.629,976.971,34.106,0.0,3.01,66.558,3223.626,419.805,0.0,178.732,0.0,6.75
1,2014-03-25,2.0,6.75,0.5,0.5,0.0983741123905067,21475.35499906539,0.0,1.0,13977.185,1032.768,10276.751,68.206,43.054,0.0,0.0,178.81900000000002,1919.471,0.0,235.223,222.893,0.0,6.6
1,2014-03-26,3.0,6.6,-0.2,0.6,0.1013083216700759,16423.80100035667,0.0,0.0,15841.981999999998,1167.497,8988.753,910.479,52.331,0.0,0.0,97.498,4592.059,0.0,0.0,33.365,0.0,7.0
1,2014-03-27,4.0,7.0,0.2,0.8,0.1595106409690974,17442.14999938011,2.0,1.0,10250.103999999998,1229.327,6936.512,639.3389999999999,42.219,0.0,182.451,58.532,935.381,47.314,0.0,179.029,0.0,6.4
1,2014-03-28,5.0,6.4,-0.6,0.6,0.0956980216371201,4923.48899960518,5.0,0.0,14430.451,10062.595,866.833,1005.403,89.166,233.036,0.0,225.951,512.741,1133.009,0.0,301.717,0.0,8.0
1,2014-03-29,6.0,8.0,0.2,1.0,0.0682028101018696,8322.6219997406,4.0,1.0,7596.305,1952.63,2720.692,1627.429,0.0,0.0,0.0,169.594,472.888,52.435,0.0,600.637,0.0,7.5
1,2014-03-30,7.0,7.5,-0.5,0.75,0.049092970521542,4523.214000940327,0.0,0.0,3595.008,414.365,1298.505,1535.677,0.0,0.0,0.0,74.003,167.685,0.0,66.477,38.296,0.0,7.4
1,2014-03-31,1.0,7.4,0.0,0.6,0.0705054808833895,11836.83400034904,6.0,0.0,12187.578,2961.405,5332.637,1758.92,41.255,51.176,0.0,268.554,1350.655,183.381,29.29,210.305,0.0,6.0
1,2014-04-01,2.0,6.0,0.2,0.0,0.118443242712736,17173.906002044678,1.0,0.0,16680.149,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,0.0,517.636,0.0,6.5
1,2014-04-02,3.0,6.5,0.3333333333333333,0.6666666666666666,0.1019166106382234,21358.510999917988,4.0,0.0,16527.843,3614.349,6920.156,1343.376,247.777,0.0,90.481,541.5409999999999,3428.792,0.0,0.0,341.371,0.0,6.4
1,2014-04-03,4.0,6.4,-1.2,0.0,0.049238472708441,21401.835000753403,4.0,0.0,21699.408000000003,2321.464,14438.082,1293.631,76.234,0.0,0.0,213.902,3154.241,19.082,0.0,182.772,0.0,6.2
1,2014-04-04,5.0,6.2,0.2,0.4,0.1266893112073258,12379.411000013357,2.0,1.0,11534.614999999998,1957.829,5481.628,1545.227,0.0,0.0,0.0,176.801,2086.197,158.241,0.0,128.692,0.0,6.8
1,2014-04-05,6.0,6.8,-0.4,0.6,0.1190023022034455,3340.4309999942784,0.0,0.0,17872.21,15159.190000000002,1885.409,76.369,0.0,0.0,0.0,81.133,363.208,187.945,0.0,118.956,0.0,6.5
1,2014-04-06,7.0,6.5,-0.75,0.5,0.0644077994424681,7467.321999788283,4.0,0.0,8692.854000000003,4548.662,3355.743,187.214,0.0,114.406,0.0,119.12,321.46000000000004,0.0,0.0,46.249,0.0,6.5
1,2014-04-07,1.0,6.5,-0.6666666666666666,0.25,0.0506706211743178,9846.38099980354,1.0,0.0,10704.571999999998,927.377,7355.015,447.121,46.128,0.0,17.107,170.348,1475.418,60.247,0.0,205.81100000000004,0.0,6.6
1,2014-04-08,2.0,6.6,-0.4,0.3333333333333333,0.0753270582613484,15101.132001876833,1.0,0.0,16756.63,892.689,9477.553,3466.4790000000003,19.131,0.0,0.0,209.514,2655.121,0.0,0.0,36.143,0.0,7.4
1,2014-04-09,3.0,7.4,-0.8,1.0,0.1203841145323287,13558.28900098801,4.0,0.0,12506.826,1638.617,6177.076,940.77,0.0,0.0,0.0,346.654,2826.35,0.0,0.0,577.3589999999999,0.0,7.4
1,2014-04-10,4.0,7.4,-0.4,0.8,0.078963105194891,9296.09899926186,7.0,0.0,9140.236,715.355,4881.411,1858.893,0.0,1.059,23.195,107.919,1174.717,0.0,0.0,377.687,0.0,7.0
1,2014-04-11,5.0,7.0,-1.2,0.8,0.0799862020730605,10526.846000194551,0.0,0.0,9672.995,3369.031,3336.592,1976.138,94.093,0.0,0.0,51.452,596.807,34.234,0.0,214.648,0.0,7.25
1,2014-04-12,6.0,7.25,-0.75,0.75,0.0722490614703181,11750.809000968928,0.0,0.0,9784.899,302.446,6595.083,2186.482,0.0,0.0,0.0,79.033,264.432,5.031,0.0,352.392,0.0,8.0
1,2014-04-13,7.0,8.0,-1.25,1.0,0.0140213289543707,2005.7509992122648,0.0,0.0,2004.726,447.415,1096.795,249.392,82.413,0.0,0.0,94.209,34.501999999999995,0.0,0.0,0.0,0.0,7.2
1,2014-04-14,1.0,7.2,-1.2,0.6,0.0838873144698841,17985.44799923897,1.0,1.0,17884.942999999996,961.581,6486.284,6265.556,89.32300000000001,0.0,0.0,145.096,2921.985,29.104,0.0,986.014,0.0,6.4
1,2014-04-15,2.0,6.4,0.0,0.8,0.0901121527807252,13585.222998380666,8.0,1.0,13604.933,1596.356,6224.231,944.522,13.043,0.0,0.0,110.415,4428.21,8.363,0.0,279.793,0.0,7.2
1,2014-04-16,3.0,7.2,0.75,0.5,0.1161103361271222,12522.47499895096,0.0,1.0,8702.586,923.613,5175.016,426.734,0.0,0.0,0.0,40.784,1912.852,0.0,0.0,223.587,0.0,6.6
1,2014-04-17,4.0,6.6,-0.4,0.6,0.0569178566720968,15018.48000073434,2.0,0.0,14758.408000000005,552.201,11853.339,142.241,0.0,0.0,0.0,53.763,2107.146,0.0,0.0,49.718,0.0,6.8
1,2014-04-18,5.0,6.8,-0.8,0.8,0.094033006694976,13490.728999614706,1.0,0.0,10290.337,1860.898,5341.657,774.354,119.163,0.0,0.0,47.789,1993.922,63.874,0.0,88.68,0.0,7.8
